,img_path
0,001.Black_footed_Albatross/._Black_footed_Albatross_0005_2755588934.jpg
1,001.Black_footed_Albatross/._Black_footed_Albatross_0008_1384283201.jpg
2,001.Black_footed_Albatross/._Black_footed_Albatross_0018_2443206789.jpg
3,001.Black_footed_Albatross/._Black_footed_Albatross_0023_2444044326.jpg
4,001.Black_footed_Albatross/._Black_footed_Albatross_0036_2444863345.jpg
5,001.Black_footed_Albatross/Black_footed_Albatross_0003_2981373810.jpg
6,001.Black_footed_Albatross/Black_footed_Albatross_0009_2408326989.jpg
7,001.Black_footed_Albatross/Black_footed_Albatross_0010_819241733.jpg
8,001.Black_footed_Albatross/Black_footed_Albatross_0023_2444044326.jpg
9,001.Black_footed_Albatross/Black_footed_Albatross_0030_2444057668.jpg
10,002.Laysan_Albatross/._Laysan_Albatross_0003_2761419021.jpg
11,002.Laysan_Albatross/._Laysan_Albatross_0008_2425914750.jpg
12,002.Laysan_Albatross/._Laysan_Albatross_0011_2783435831.jpg
13,002.Laysan_Albatross/._Laysan_Albatross_0014_174432783.jpg
14,002.Laysan_Albatross/._Laysan_Albatross_0020_2797723167.jpg
15,002.Laysan_Albatross/._Laysan_Albatross_0021_2478333779.jpg
16,002.Laysan_Albatross/Laysan_Albatross_0001_2425112005.jpg
17,002.Laysan_Albatross/Laysan_Albatross_0002_2761419017.jpg
18,002.Laysan_Albatross/Laysan_Albatross_0011_2783435831.jpg
19,002.Laysan_Albatross/Laysan_Albatross_0015_313326964.jpg
20,002.Laysan_Albatross/Laysan_Albatross_0018_2755886291.jpg
21,002.Laysan_Albatross/Laysan_Albatross_0022_2447933734.jpg
22,003.Sooty_Albatross/._Sooty_Albatross_0005_340127050.jpg
23,003.Sooty_Albatross/._Sooty_Albatross_0006_1603871508.jpg
24,003.Sooty_Albatross/._Sooty_Albatross_0007_259334033.jpg
25,003.Sooty_Albatross/._Sooty_Albatross_0011_686820175.jpg
26,003.Sooty_Albatross/._Sooty_Albatross_0012_687681084.jpg
27,003.Sooty_Albatross/._Sooty_Albatross_0023_2752787561.jpg
28,003.Sooty_Albatross/Sooty_Albatross_0004_2470953514.jpg
29,003.Sooty_Albatross/Sooty_Albatross_0010_496156144.jpg
30,003.Sooty_Albatross/Sooty_Albatross_0026_2204677331.jpg
31,004.Groove_billed_Ani/._Groove_billed_Ani_0002_3019980203.jpg
32,004.Groove_billed_Ani/._Groove_billed_Ani_0006_438867839.jpg
33,004.Groove_billed_Ani/._Groove_billed_Ani_0010_396495151.jpg
34,004.Groove_billed_Ani/._Groove_billed_Ani_0025_1974827705.jpg
35,004.Groove_billed_Ani/._Groove_billed_Ani_0027_1344877998.jpg
36,004.Groove_billed_Ani/._Groove_billed_Ani_0028_2744130539.jpg
37,004.Groove_billed_Ani/._Groove_billed_Ani_0034_1977446722.jpg
38,004.Groove_billed_Ani/Groove_billed_Ani_0001_2380886537.jpg
39,004.Groove_billed_Ani/Groove_billed_Ani_0007_xxx.jpg
40,004.Groove_billed_Ani/Groove_billed_Ani_0008_402320965.jpg
41,004.Groove_billed_Ani/Groove_billed_Ani_0010_396495151.jpg
42,004.Groove_billed_Ani/Groove_billed_Ani_0012_2410652192.jpg
43,004.Groove_billed_Ani/Groove_billed_Ani_0013_3020033079.jpg
44,004.Groove_billed_Ani/Groove_billed_Ani_0017_2407127570.jpg
45,004.Groove_billed_Ani/Groove_billed_Ani_0019_2946094044.jpg
46,004.Groove_billed_Ani/Groove_billed_Ani_0021_483532445.jpg
47,004.Groove_billed_Ani/Groove_billed_Ani_0024_3001839411.jpg
48,004.Groove_billed_Ani/Groove_billed_Ani_0030_934123127.jpg
49,005.Crested_Auklet/._Crested_Auklet_0003_1648992793.jpg
